"QID","value"
"Q595",70232180
"Q2345",60004251
"Q4466",70139488
"Q7216",70113743
"Q16403",255432
"Q12018",60021830
"Q16453",60033231
"Q11618",70034219
"Q16401",70213238
"Q24075",11819467
"Q18428",247784
"Q930312",312193
"Q18403",60001588
"Q26970",60020822
"Q18967",60022709
"Q22432",60023613
"Q20456",60028940
"Q24980",60029676
"Q18402",60032448
"Q23831",70136120
"Q23673",70197049
"Q18415",9274299
"Q40115",1151188
"Q4401429",252238
"Q41132",283258
"Q1983098",304623
"Q41483",553500
"Q43228",60011704
"Q39975",70003553
"Q32241",70018704
"Q29011",70028883
"Q31198",70083469
"Q33109",70084161
"Q41403",70224479
"Q29313",70230562
"Q62665",1001011
"Q58439",1029730
"Q47296",60020560
"Q44085",70014510
"Q51757",70086564
"Q44447",70123913
"Q50714",70135561
"Q45871",70215459
"Q45384",70251537
"Q53353",70302572
"Q1883105",724961
"Q45304",726218
"Q51732",81027768
"Q1210832",219801
"Q255328",221126
"Q1338008",474481
"Q60794",60001529
"Q775988",60010674
"Q62163",60010882
"Q60364",60025640
"Q59722",60033281
"Q73028",70018719
"Q59249",70118677
"Q73622",70153380
"Q61696",759322
"Q686533",1193135
"Q80227",60033359
"Q81224",70044379
"Q80204",70243443
"Q75682",70275937
"Q1211921",403413
"Q106316",426589
"Q108946",499243
"Q110354",558381
"Q109116",60028133
"Q108543",60029355
"Q104814",60029358
"Q249288",1042189
"Q111655",207730
"Q129959",60001330
"Q127367",60004480
"Q130769",60010854
"Q126183",60011596
"Q114076",60020626
"Q125494",60020770
"Q130868",60023798
"Q127045",60025645
"Q126492",60027594
"Q130142",60028099
"Q118713",60029193
"Q127897",60033336
"Q127421",70003641
"Q128975",70038028
"Q113428",70041029
"Q126800",70043941
"Q126382",70049771
"Q128646",70063213
"Q115776",70066184
"Q129313",70106414
"Q116928",70113010
"Q129068",70118020
"Q119889",70120160
"Q122113",70135881
"Q146605",1147645
"Q3319890",1154547
"Q133654",14546747
"Q139245",281550
"Q135347",308834
"Q137800",60002223
"Q148428",60003767
"Q144970",60010428
"Q139460",60020837
"Q143901",60024035
"Q150804",60025061
"Q148330",60035211
"Q1158191",687578
"Q151895",70022049
"Q151884",70040792
"Q150047",70051668
"Q151751",70068657
"Q139927",70099118
"Q144756",70099621
"Q143605",70108018
"Q151529",70122011
"Q147308",70233317
"Q538909",779316
"Q141359",822391
"Q1191001",953781
"Q146673",286139
"Q2268296",383421
"Q1193245",489966
"Q155476",60020747
"Q159638",60022707
"Q166426",60031833
"Q156516",60032487
"Q162277",70001990
"Q162458",70011209
"Q153613",70026139
"Q157973",70084189
"Q159063",70109683
"Q164933",70124964
"Q163869",70138768
"Q166716",70229178
"Q161196",80240057
"Q185884",1034205
"Q288355",1153034
"Q175038",17672318
"Q174454",17960498
"Q181086",383466
"Q180395",60000898
"Q185053",60011288
"Q186864",60020824
"Q169408",60021910
"Q186587",60034571
"Q178826",60034801
"Q179798",664132
"Q175555",70001925
"Q180363",70019002
"Q180098",70038486
"Q181248",70040470
"Q182254",70058029
"Q185535",70084314
"Q183066",70105601
"Q182206",70297628
"Q172271",70298386
"Q193835",17405997
"Q336835",221109
"Q747570",251454
"Q190050",26004747
"Q203778",26058240
"Q203388",26597413
"Q2413907",48992
"Q189505",60001220
"Q204662",60003895
"Q196933",60011394
"Q195274",60011720
"Q192409",60024537
"Q202029",60026138
"Q205321",60030651
"Q189875",60031746
"Q200572",60036238
"Q187266",60036638
"Q5918770",608711
"Q200804",70001473
"Q197470",70046307
"Q197233",70046583
"Q200827",70048301
"Q200431",70055848
"Q188850",70097579
"Q191100",70103763
"Q195920",70105904
"Q205028",70111470
"Q201819",70113005
"Q188439",70128681
"Q193462",70155618
"Q192212",70184048
"Q192686",70217911
"Q196685",70273614
"Q199314",70286809
"Q198557",770194
"Q191921",8177288
"Q188384",831545
"Q196936",841836
"Q903257",848812
"Q204057",855084
"Q740069",1047455
"Q222018",1057618
"Q221345",287348
"Q212660",425845
"Q217182",60000527
"Q223139",60000544
"Q211372",60000711
"Q221104",60001368
"Q210873",60010585
"Q764116",60022255
"Q219776",60027685
"Q206388",60028306
"Q212582",60031162
"Q223374",60036227
"Q217008",60036252
"Q209170",60036639
"Q207921",60037204
"Q223122",70000519
"Q208988",70041578
"Q221168",70043307
"Q213012",70043308
"Q222800",70059982
"Q212689",70060015
"Q222041",70065096
"Q213999",70084788
"Q222732",70095775
"Q212792",70099615
"Q218496",70114978
"Q206497",70119811
"Q206336",70123100
"Q211693",70134435
"Q218035",70143842
"Q206124",70181730
"Q209395",70200123
"Q207659",986399
"Q211206",994957
"Q207482",206584
"Q231964",21027648
"Q497027",426410
"Q224964",60002718
"Q240765",60004017
"Q224004",60020562
"Q229643",60020868
