"QID","value"
"Q271843","1176"
"Q230563","147312"
"Q2246344","2307"
"Q235617","5473"
"Q361215","79406"
"Q311699","8617"
"Q278759","99216"
"Q106458","12101"
"Q22986030","12470"
"Q1138602","14059"
"Q3825563","147"
"Q5921","15173"
"Q284946","16188"
"Q1368537","19121"
"Q5916408","21104"
"Q91742","7942"
"Q711178","8537"
"Q176126","99249"
"Q267383","153286"
"Q53009","15346"
"Q873","185873"
"Q716460","190460"
"Q1340574","4183"
"Q6530587","471"
"Q3557115","51"
"Q522803","5769"
"Q1631803","58374"
"Q447605","631"
"Q3037157","668"
"Q1968780","79395"
"Q235922","10751"
"Q62310","14482"
"Q229952","17548"
"Q683299","20469"
"Q2269990","246"
"Q740071","2463"
"Q1117390","32147"
"Q310413","3280"
"Q235635","3424"
"Q1888426","35815"
"Q230415","3822"
"Q468848","40625"
"Q365310","49377"
"Q340213","5436"
"Q714728","60667"
"Q7371","60684"
"Q1351291","60689"
"Q310511","6484"
"Q203545","68056"
"Q14692546","114546"
"Q3266586","1601"
"Q7495358","165189"
"Q4260063","254"
"Q1604757","27295"
"Q4885412","32257"
"Q334506","42236"
"Q51506","6741"
"Q534601","6995"
"Q443030","7855"
"Q363653","80037"
"Q345955","100275"
"Q1651660","10791"
"Q1398481","112049"
"Q234883","1202"
"Q23888","121"
"Q183141","14376"
"Q380884","158996"
"Q34816","16029"
"Q242729","17721"
"Q235622","17749"
"Q522933","17776"
"Q457702","187847"
"Q333755","19703"
"Q5383","20269"
"Q283178","2302"
"Q377126","23926"
"Q5115321","243"
"Q56008","25935"
"Q471858","27563"
"Q4877133","27707"
"Q4293","309"
"Q275543","34080"
"Q4547","40561"
"Q357001","48988"
"Q30597501","51005"
"Q104027","52463"
"Q4491","525560"
"Q290666","62510"
"Q470252","64976"
"Q450646","674"
"Q3281667","6746"
"Q8009733","69421"
"Q972568","751"
"Q257756","80088"
"Q5394883","8928"
"Q364083","97116"
"Q60801","97135"
"Q680844","120"
"Q179414","12517"
"Q464425","12773"
"Q257217","128975"
"Q106942","14409"
"Q7546","14557"
"Q3158271","15444"
"Q434129","1723"
"Q714747","25012"
"Q315374","26726"
"Q176945","27637"
"Q367073","41166"
"Q265848","41396"
"Q932660","44141"
"Q929933","52296"
"Q100937","6516"
"Q464367","665"
"Q946210","69933"
"Q237645","70125"
"Q271846","7241"
"Q432845","795"
"Q454081","8471"
"Q256531","91939"
"Q3082480","985"
"Q1971717","1003508"
"Q7346671","109297"
"Q16397","110837|24346"
"Q294927","113314"
"Q12827","13015611"
"Q311103","13860"
"Q558933","14728"
"Q457279","167408"
"Q1382927","168862"
"Q266416","17016"
"Q209471","170583"
"Q93632","171498"
"Q449900","173627"
"Q1374891","17527"
"Q73612","175341"
"Q313727","175407"
"Q369190","19623"
"Q13888","199204"
"Q13888","199204|101814"
"Q715807","2204"
"Q7803068","231"
"Q255786","2451"
"Q983092","26206"
"Q202597","33011"
"Q232404","336679"
"Q4762456","346676"
"Q211111","4138"
"Q1336879","43466"
"Q214767","5209"
"Q313306","61231"
"Q232109","6555"
"Q80530","7376"
"Q1309447","76150"
"Q558333","78701"
"Q1699098","852"
"Q209662","8873"
"Q537190","100006"
"Q266391","100144"
"Q269869","102585"
"Q270730","1036"
"Q725520","104889"
"Q77342","105857"
"Q295593","10738"
"Q26876","11394468"
"Q62678","119503"
"Q463883","122326"
"Q2176884","125505"
"Q315495","126910"
"Q266473","130179"
"Q228607","1314"
"Q1790472","13503"
"Q1645740","13602"
"Q18989","140556"
"Q285419","14304"
"Q111436","15079"
"Q313042","158722"
"Q66829939","1627796"
"Q25144","181448"
"Q450862","18820"
"Q673482","18833"
"Q24829","203979|119503"
"Q727740","206063"
"Q72652","22637"
"Q557601","25093"
"Q16750365","26656"
"Q181936","296"
"Q336841","31640"
"Q49492","32944"
"Q498820","3482"
"Q25014","35399"
"Q372311","35777"
"Q16867","358455"
"Q705738","37993"
"Q266340","3851"
"Q372073","38703"
"Q932647","3913"
"Q23884","39757"
"Q727753","41105"
"Q1348309","41343"
"Q369949","42023"
"Q332632","46054"
"Q550778","47908"
"Q26806","49540"
"Q271883","50576"
"Q334195","52041"
"Q255630","5233"
"Q3109076","527"
"Q3530645","569"
"Q125237","57548"
"Q254603","60281"
"Q41131","65219"
"Q1359422","67058"
"Q309631","67068"
"Q5324918","671"
"Q235928","67242"
"Q21078137","6733"
"Q3430780","67490"
"Q295739","67640"
"Q1375447","6893"
"Q938423","7002"
"Q303891","71132"
"Q25078","71394"
"Q237115","715"
"Q6701279","7176"
"Q509671","77809"
"Q84551","79042"
"Q239293","81476"
"Q2731624","8238"
"Q323166","83248"
"Q3550929","8346"
"Q1279767","83575"
"Q974982","84205"
"Q18947","87850"
"Q343037","89711"
"Q312107","9032"
"Q2420942","90657"
"Q106383","919"
"Q483118","1035"
"Q38203","1086814|68397"
"Q960063","1128078"
"Q36195","11293070"
"Q29086","113951"
"Q1347106","114536"
"Q272022","11774"
"Q458779","12256"
"Q27744478","123067"
"Q1379961","123483"
"Q234997","12570"
"Q37001","131300"
"Q360313","13325"
"Q746337","13465"
"Q495813","13708"
"Q312364","140746"
"Q34460","147031"
"Q234076","150373"
"Q711561","15724"
"Q5039905","15909"
"Q50713","160204"
"Q76450","168355"
"Q41148","172836|108079"
"Q253239","178021"
"Q263663","17812"
"Q740939","179862"
"Q1706646","18641"
"Q19881819","205637"
"Q233856","20920"
"Q957475","21867"
"Q185079","22603"
"Q40791","24984"
"Q7185783","2546"
"Q211144","25813"
"Q312570","25905"
"Q55171","2782"
"Q271145","2820"
"Q51492","28439"
"Q283872","30108"
"Q36105","336444"
"Q37628","342007"
"Q316670","35210"
"Q35912","366078"
"Q2052002","3947"
"Q5623607","4054"
"Q138053","40700"
"Q2589401","41644"
"Q40064","44062"
"Q920072","5077"
"Q29250","513446"
"Q5335798","539"
"Q182229","5487"
"Q438911","5597"
"Q229338","6045"
"Q447847","6133"
"Q193048","62293"
